backend,input_tokens,output_tokens,prefill_median_ms,e2e_median_ms,decode_median_total_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,decode_tok_s_median,peak_memory_gb_median,post_prefill_memory_gb_median,final_memory_gb_median
eager,128,32,21.86204719543457,590.6658878326416,567.8262424468994,18.361371280301,17.898527145385742,20.773049736022948,54.59416575467448,2.926054000854492,2.8885788917541504,2.8894081115722656
eager,128,128,22.045631408691406,2215.3640270233154,2194.3720264434814,17.252463477427565,17.15987205505371,18.222608375549317,57.87532764252134,2.926054000854492,2.8885788917541504,2.891972064971924
eager,128,256,21.68627166748047,4425.002668380737,4403.319467544556,17.249469205070945,17.147647857666016,18.237385749816895,57.91085608925779,2.926054000854492,2.8885788917541504,2.8953909873962402
eager,128,512,21.943296432495117,9011.601779937744,8989.97285270691,17.583024794994735,17.396320343017578,18.837379074096678,56.84110601581364,2.926054000854492,2.8885788917541504,2.902228832244873
flash,128,32,19.531776428222656,499.19215965270996,480.51555252075195,15.798361587524415,15.28115177154541,19.624297523498534,64.5140408824982,2.926054000854492,2.8885788917541504,2.8894081115722656
flash,128,128,19.08019256591797,1940.2447328567505,1918.6588125228882,15.257825614148238,15.054752349853516,16.60201015472412,66.19207082107778,2.926054000854492,2.8885788917541504,2.891972064971924
flash,128,256,18.43609619140625,3795.6494369506836,3776.790015220642,14.836689750073003,14.737407684326172,15.774636840820312,67.5176536085771,2.926054000854492,2.8885788917541504,2.8953909873962402
flash,128,512,18.798368453979492,7618.630904197693,7600.374009132385,14.882450116823797,14.79372787475586,15.830144214630128,67.23353342690734,2.926054000854492,2.8885788917541504,2.902228832244873
