context_length,run,output_tokens,ttft_ms,tpot_ms,total_latency_s,throughput_tok_s,peak_memory_gb
128,1,100,32.528100069612265,25.744677777637285,2.5812512000557035,38.74090208571796,2.8958754539489746
128,2,100,32.125100027769804,25.467753534986066,2.55343269999139,39.162966778148174,2.8958754539489746
128,3,100,31.57910006120801,25.428592928243102,2.5490097999572754,39.23092017993659,2.8958754539489746
256,1,100,35.1581999566406,25.33763030431036,2.543583600083366,39.314611085211624,2.9073896408081055
256,2,100,34.46370013989508,25.471044443265505,2.5560971000231802,39.12214445965028,2.9073896408081055
256,3,100,35.280399955809116,25.573991921100053,2.567105600144714,38.95437725443112,2.9073896408081055
512,1,100,47.09440004080534,25.483267675765386,2.5699378999415785,38.91144607123513,2.944143295288086
512,2,100,45.91550002805889,25.39353232332176,2.559875200036913,39.064404389150695,2.944143295288086
512,3,100,46.04570008814335,25.430927271813605,2.5637074999976903,39.00600985100293,2.944143295288086
1024,1,100,112.62109992094338,25.46302828175778,2.6334608998149633,37.97284402704683,3.059642791748047
1024,2,100,109.69710000790656,25.37486565797919,2.6218088001478463,38.141606662682996,3.059642791748047
1024,3,100,109.36670005321503,25.289333333741084,2.6130107000935823,38.2700308102139,3.059642791748047
2048,1,100,308.6385000497103,25.021487877544278,2.785765799926594,35.896772084227266,3.4517745971679688
2048,2,100,299.9540998134762,24.822423234581947,2.757374000037089,36.26638968767201,3.4517745971679688
2048,3,100,300.38159992545843,25.345229292100274,2.809559299843386,35.59277072584812,3.4517745971679688
4096,1,100,961.7877001874149,24.325560604344414,3.370018200017512,29.673430250163147,4.8942413330078125
4096,2,100,935.6215000152588,24.50669090724503,3.361783899832517,29.746111879761806,4.8942413330078125
4096,3,100,936.2238999456167,24.576910101159505,3.3693379999604076,29.679420705543663,4.8942413330078125
