input_tokens,token_index,effective_seq_len,median_latency_ms,p95_latency_ms,median_allocated_mib,median_reserved_mib
64,441,504,14.024703979492188,15.403622436523436,2968.18896484375,3178.0
64,442,505,14.125056266784668,14.905951881408692,2968.21630859375,3178.0
64,443,506,14.136896133422852,14.344857215881348,2968.24365234375,3178.0
64,444,507,14.475263595581055,14.596505546569825,2968.27099609375,3178.0
64,445,508,14.227616310119629,15.77333106994629,2968.29833984375,3178.0
64,446,509,14.295040130615234,15.348940467834472,2968.32568359375,3178.0
64,447,510,15.626912117004395,15.937126159667969,2968.35302734375,3180.0
64,448,511,14.720992088317871,15.566028594970703,2968.38037109375,3180.0
64,449,512,14.234335899353027,14.945075607299804,2968.40771484375,3180.0
64,450,513,16.759424209594727,17.516135025024415,2968.435546875,3186.0
64,451,514,14.553088188171387,16.012211799621582,2968.462890625,3186.0
64,452,515,14.616576194763184,15.216819572448731,2968.490234375,3186.0
64,453,516,14.095359802246094,14.311808204650879,2968.517578125,3186.0
64,454,517,14.367712020874023,14.682982444763184,2968.544921875,3186.0
64,455,518,15.172608375549316,15.748780632019043,2968.572265625,3186.0
64,456,519,14.9453763961792,15.68583698272705,2968.599609375,3186.0
64,457,520,14.403424263000488,14.794335746765137,2968.626953125,3186.0
128,377,504,14.534655570983887,15.269222640991211,2968.18994140625,3196.0
128,378,505,14.623744010925293,15.202432250976562,2968.21728515625,3196.0
128,379,506,14.37600040435791,16.548799324035645,2968.24462890625,3196.0
128,380,507,14.804832458496094,15.844146728515625,2968.27197265625,3196.0
128,381,508,14.28275203704834,16.006373786926268,2968.29931640625,3196.0
128,382,509,14.576640129089355,17.520178985595702,2968.32666015625,3196.0
128,383,510,14.350624084472656,16.73449668884277,2968.35400390625,3196.0
128,384,511,14.3187837600708,17.037414169311525,2968.38134765625,3196.0
128,385,512,14.512127876281738,14.719999885559082,2968.40869140625,3196.0
128,386,513,16.847871780395508,17.428050994873047,2968.4365234375,3202.0
128,387,514,15.502528190612793,16.319699096679688,2968.4638671875,3204.0
128,388,515,14.384127616882324,15.62206745147705,2968.4912109375,3204.0
128,389,516,14.803647994995117,16.024608612060547,2968.5185546875,3204.0
128,390,517,14.531231880187988,16.06123504638672,2968.5458984375,3204.0
128,391,518,14.67084789276123,18.051302909851074,2968.5732421875,3204.0
128,392,519,14.708288192749023,16.79475154876709,2968.6005859375,3204.0
128,393,520,14.436287879943848,15.700121688842772,2968.6279296875,3204.0
256,249,504,14.973952293395996,15.559411430358887,2968.19189453125,3258.0
256,250,505,15.169471740722656,15.444812774658203,2968.21923828125,3258.0
256,251,506,15.625215530395508,16.05640277862549,2968.24658203125,3258.0
256,252,507,14.737183570861816,15.486438369750976,2968.27392578125,3258.0
256,253,508,14.737407684326172,15.830681800842285,2968.30126953125,3258.0
256,254,509,14.594752311706543,15.06917724609375,2968.32861328125,3258.0
256,255,510,14.644767761230469,14.974412727355958,2968.35595703125,3258.0
256,256,511,14.66982364654541,15.96311683654785,2968.38330078125,3258.0
256,257,512,14.47219181060791,14.56967716217041,2968.41064453125,3258.0
256,258,513,16.059423446655273,17.184767532348634,2968.4384765625,3262.0
256,259,514,15.08249568939209,15.885107612609863,2968.4658203125,3262.0
256,260,515,14.758912086486816,15.2700927734375,2968.4931640625,3262.0
256,261,516,14.619168281555176,14.86906909942627,2968.5205078125,3262.0
256,262,517,14.403360366821289,15.413510704040528,2968.5478515625,3262.0
256,263,518,14.36467170715332,15.446585655212402,2968.5751953125,3262.0
256,264,519,14.6943998336792,14.79125156402588,2968.6025390625,3262.0
256,265,520,14.515135765075684,15.460710144042968,2968.6298828125,3262.0
