backend,input_tokens,output_tokens,run,prefill_ms,total_decode_ms,e2e_ms,decode_tok_s,allocated_before_gb,allocated_after_prefill_gb,final_allocated_gb,peak_allocated_gb
eager,128,32,1,21.344255447387695,569.3216323852539,590.6658878326416,54.450767785023544,2.885160446166992,2.8885788917541504,2.8894081115722656,2.926054000854492
eager,128,32,2,21.277311325073242,548.2675189971924,569.5448303222656,56.54174089448247,2.885160446166992,2.8885788917541504,2.8894081115722656,2.926054000854492
eager,128,32,3,23.974815368652344,615.8581485748291,639.8329639434814,50.336266673969945,2.885160446166992,2.8885788917541504,2.8894081115722656,2.926054000854492
eager,128,32,4,25.135103225708008,567.8262424468994,592.9613456726074,54.59416575467448,2.885160446166992,2.8885788917541504,2.8894081115722656,2.926054000854492
eager,128,32,5,21.86204719543457,544.7390060424805,566.601053237915,56.90798649653247,2.885160446166992,2.8885788917541504,2.8894081115722656,2.926054000854492
eager,128,128,1,23.68409538269043,2206.046142578125,2229.7302379608154,57.569058755761006,2.885160446166992,2.8885788917541504,2.891972064971924,2.926054000854492
eager,128,128,2,22.045631408691406,2194.7883262634277,2216.833957672119,57.86435005156708,2.885160446166992,2.8885788917541504,2.891972064971924,2.926054000854492
eager,128,128,3,22.906879425048828,2181.2475986480713,2204.15447807312,58.22355980069117,2.885160446166992,2.8885788917541504,2.891972064971924,2.926054000854492
eager,128,128,4,20.992000579833984,2194.3720264434814,2215.3640270233154,57.87532764252134,2.885160446166992,2.8885788917541504,2.891972064971924,2.926054000854492
eager,128,128,5,21.589887619018555,2178.8602142333984,2200.450101852417,58.28735554964602,2.885160446166992,2.8885788917541504,2.891972064971924,2.926054000854492
eager,128,256,1,21.68627166748047,4407.538951873779,4429.22522354126,57.85541609146567,2.885160446166992,2.8885788917541504,2.8953909873962402,2.926054000854492
eager,128,256,2,21.68320083618164,4403.319467544556,4425.002668380737,57.91085608925779,2.885160446166992,2.8885788917541504,2.8953909873962402,2.926054000854492
eager,128,256,3,21.767168045043945,4388.171075820923,4409.938243865967,58.110769975460805,2.885160446166992,2.8885788917541504,2.8953909873962402,2.926054000854492
eager,128,256,4,22.63145637512207,4383.570755004883,4406.202211380005,58.171754090853256,2.885160446166992,2.8885788917541504,2.8953909873962402,2.926054000854492
eager,128,256,5,21.63702392578125,4410.4729862213135,4432.110010147095,57.816928206258446,2.885160446166992,2.8885788917541504,2.8953909873962402,2.926054000854492
eager,128,512,1,21.77519989013672,8831.3807888031,8853.155988693237,57.86184654701712,2.885160446166992,2.8885788917541504,2.902228832244873,2.926054000854492
eager,128,512,2,22.134784698486328,8835.598825454712,8857.733610153198,57.83422381376648,2.885160446166992,2.8885788917541504,2.902228832244873,2.926054000854492
eager,128,512,3,21.62892723083496,8989.97285270691,9011.601779937744,56.84110601581364,2.885160446166992,2.8885788917541504,2.902228832244873,2.926054000854492
eager,128,512,4,23.252992630004883,9103.778303146362,9127.031295776367,56.13054085723869,2.885160446166992,2.8885788917541504,2.902228832244873,2.926054000854492
eager,128,512,5,21.943296432495117,9163.897581100464,9185.840877532959,55.76229933580681,2.885160446166992,2.8885788917541504,2.902228832244873,2.926054000854492
flash,128,32,1,19.746431350708008,479.06127738952637,498.8077087402344,64.70988464967039,2.885160446166992,2.8885788917541504,2.8894081115722656,2.926054000854492
flash,128,32,2,19.531776428222656,461.3097925186157,480.8415689468384,67.19996085656263,2.885160446166992,2.8885788917541504,2.8894081115722656,2.926054000854492
flash,128,32,3,18.102272033691406,487.3390703201294,505.4413423538208,63.610742269517466,2.885160446166992,2.8885788917541504,2.8894081115722656,2.926054000854492
flash,128,32,4,19.61676788330078,540.5203533172607,560.1371212005615,57.352141893913874,2.885160446166992,2.8885788917541504,2.8894081115722656,2.926054000854492
flash,128,32,5,18.676607131958008,480.51555252075195,499.19215965270996,64.5140408824982,2.885160446166992,2.8885788917541504,2.8894081115722656,2.926054000854492
flash,128,128,1,21.585920333862305,1918.6588125228882,1940.2447328567505,66.19207082107778,2.885160446166992,2.8885788917541504,2.891972064971924,2.926054000854492
flash,128,128,2,19.0798397064209,1889.9691524505615,1909.0489921569824,67.19686394634005,2.885160446166992,2.8885788917541504,2.891972064971924,2.926054000854492
flash,128,128,3,18.8538875579834,1962.1990756988525,1981.052963256836,64.7233002873411,2.885160446166992,2.8885788917541504,2.891972064971924,2.926054000854492
flash,128,128,4,21.727231979370117,2005.7338333129883,2027.4610652923584,63.31847122019508,2.885160446166992,2.8885788917541504,2.891972064971924,2.926054000854492
flash,128,128,5,19.08019256591797,1912.1583909988403,1931.2385835647583,66.41709211843059,2.885160446166992,2.8885788917541504,2.891972064971924,2.926054000854492
flash,128,256,1,17.984512329101562,3767.7876148223877,3785.7721271514893,67.6789739944035,2.885160446166992,2.8885788917541504,2.8953909873962402,2.926054000854492
flash,128,256,2,18.43609619140625,3807.1830730438232,3825.6191692352295,66.97865458729538,2.885160446166992,2.8885788917541504,2.8953909873962402,2.926054000854492
flash,128,256,3,19.564287185668945,3788.3395957946777,3807.9038829803467,67.3118112967137,2.885160446166992,2.8885788917541504,2.8953909873962402,2.926054000854492
flash,128,256,4,18.970304489135742,3776.679132461548,3795.6494369506836,67.519635917229,2.885160446166992,2.8885788917541504,2.8953909873962402,2.926054000854492
flash,128,256,5,18.339839935302734,3776.790015220642,3795.129855155945,67.5176536085771,2.885160446166992,2.8885788917541504,2.8953909873962402,2.926054000854492
flash,128,512,1,18.798368453979492,7647.8779764175415,7666.676344871521,66.81591960223263,2.885160446166992,2.8885788917541504,2.902228832244873,2.926054000854492
flash,128,512,2,18.998271942138672,7604.114051818848,7623.112323760986,67.2004649743217,2.885160446166992,2.8885788917541504,2.902228832244873,2.926054000854492
flash,128,512,3,18.542591094970703,7580.989334106445,7599.531925201416,67.40545032836805,2.885160446166992,2.8885788917541504,2.902228832244873,2.926054000854492
flash,128,512,4,18.956480026245117,7591.3046770095825,7610.261157035828,67.31385733305814,2.885160446166992,2.8885788917541504,2.902228832244873,2.926054000854492
flash,128,512,5,18.256895065307617,7600.374009132385,7618.630904197693,67.23353342690734,2.885160446166992,2.8885788917541504,2.902228832244873,2.926054000854492
